title,budget,worldwidegross,datecopy,date2,rate1,year,month,yearMean,logYearMeanRate
Scrooged,32000000,59450353,23-Nov-88,23-Nov-88,1.8578235,1988,11,4.4467702,1.4921781
The Land Before Time,12300000,81972846,18-Nov-88,18-Nov-88,6.6644592,1988,11,4.4467702,1.4921781
Child's Play,9000000,42557639,9-Nov-88,9-Nov-88,4.7286267,1988,11,4.4467702,1.4921781
They Live,4000000,13000000,4-Nov-88,4-Nov-88,3.25,1988,11,4.4467702,1.4921781
Mystic Pizza,6000000,12465564,21-Oct-88,21-Oct-88,2.077594,1988,10,4.4467702,1.4921781
Halloween 4: The Return of Michael Myers,5000000,16634499,1-Oct-88,1-Oct-88,3.3268998,1988,10,4.4467702,1.4921781
A Nightmare on Elm Street 4: The Dream Master,13000000,49369899,19-Aug-88,19-Aug-88,3.7976844,1988,8,4.4467702,1.4921781
Young Guns,13000000,44726644,12-Aug-88,12-Aug-88,3.440511,1988,8,4.4467702,1.4921781
The Last Temptation of Christ,7000000,8373585,12-Aug-88,12-Aug-88,1.1962265,1988,8,4.4467702,1.4921781
Midnight Run,30000000,81613606,20-Jul-88,20-Jul-88,2.7204535,1988,7,4.4467702,1.4921781
